Title,Abstract,Discipline,Methodology
Application and algorithm optimization of music emotion recognition in piano performance evaluation,"In the current research, we integrate distinct learning modalities—Curriculum Learning (CL) and Reinforcement Learning (RL)—in an attempt to develop and optimize Music Emotion Recognition (MER) in piano performance. Classical approaches have never been successful when applied in the field of determining the degree of emotion in the music of the piano, owing to the substantial complexity required. Addressing this particular issue is the primary motivation for the present endeavour. In an approach that’s comparable to how human beings acquire information, it trains the RL agent CL in phases; such an approach improves the student’s learning model in understanding the diverse emotions expressed by musical compositions. A higher rating of performance can be achieved after learning the model to recognize emotions more effectively and precisely. A set of piano melodies with emotional content notes has been included in the EMOPIA repository for use when conducting the process of evaluation. In order to benchmark the proposed approach with different models, parameters including R2, Mean Absolute Error (MAE), and Root Mean Square Error (RMSE) were deployed. Studies indicate that the recommended approach accurately recognizes the emotions expressed by piano-playing music. In challenging tasks like MER, the significance of implementing the CL paradigm with the RL has been emphasized using the outcomes mentioned earlier.",CS,Quantitative
Implementation of Frequent Pattern (FP)-Growth Algorithm for Comparative Analysis on Teacher's Performance Evaluation Results,"The performance of teachers in a class has been the center of attention for the most educational sector. The primary purpose of this project was to design, develop and implement a system for comparative analysis on teacher's performance evaluation results for Saint Michael College of Caraga. The algorithm should be applied for the accurate generation and comparison of results on the existing performance evaluation system. Based on the development phase, the system was able to achieve its objective. The administrator created add user that allowed them to log in. The users are allowed to view evaluation results from certain school year and semester. It also allows users to compare results from the past academic year to the present and generate printed reports. The user can modify his/her account and set school year dates of evaluation. It was recommended that the instructor, program head, department dean, and the head of the Human Resource Development Office of the Saint Michael College of Caraga, are encouraged to implement and utilize the system. In addition, before the system should be put into full operation, training for the users should be conducted. Moreover, the system needs statistical features and a high-end support framework for data analysis to guarantee the correctness of data and rationality of evaluation results.",IS,Mixed
Performance Evaluation of Support Vector Machine Algorithm for Human Gesture Recognition,"Research on human motion gesture recognition has been widely used for several technological devices to support monitoring of human-computer interaction, elderly people and so forth. This research area can be observed by conducting experiments for several body movements, such as hand movements, or body movements as a whole. Many methods have been used for human motion gesture recognition in previous studies. This paper attempted to collect data of performance evaluation of support vector machine algorithms for human motion recognition. We developed research methodology that is adapted PRISMA. This methodology is consisted of four main steps for reviewing scientific articles, including identification, screening, eligibility and inclusion criteria. After we obtained result of systematic literature review. We also conducted pilot study of SVM implementation for human gesture recognition. Based on the previous study result, the accuracy performance of vector machine algorithms for body gesture dataset is between 82.88% - 99.92% and hand gesture dataset 88.24% - 95.42%. Based on our pilot experiment, recognition accuracy with the SVM algorithm for human gesture recognition achieved 94,50% (average) accuracy.",CS,Mixed
Performance Evaluation of Classification Algorithm for Movie Review Sentiment Analysis,"The majority of the current research on sentiment analysis, which covers topics like political reviews, movie reviews, and product reviews, has developed quickly. The classification and clustering stage of sentiment analysis research involves a number of subjects. Some of them cover text classification comparison research and algorithm performance optimization. An intricate issue in sentiment analysis research is dealing with unstructured or semi-structured data. The sentiment analysis procedure and improving the efficacy of the classifier’s algorithm are both hampered by unstructured data. In order to manage unstructured data successfully and provide accurate and relevant information, unique strategies are required. The proposed classification model performance evaluation using Support Vector Machine, Naive Bayes, K-Nearest Neighbor, and Decision Tree is specifically covered in this paper. According to the study’s findings, SVM has an accuracy rate of 96% and Naive Bayes is 86%. While the decision tree’s gain accuracy is 78 percent and the kNN classification model’s gain accuracy is 78 percent, respectively. The test results demonstrate that SVM is superior to other classification models in terms of accuracy performance.",CS,Mixed
Image Fusion Algorithm Based on Gradient Pyramid and its Performance Evaluation,"Image fusion algorithm based on gradient pyramid is one of the multi-scale, multi-resolution decomposition algorithms. Original image was decomposed into Gauss pyramid, after that, gradient decomposition was completed on each layer in four directions, and fusion effect was evaluated by taking using of entropy, average gradient, mean and standard deviation. Simulation results show that gradient pyramid algorithm is effective to multi-focus image and color image.",CS,Quantitative
Scalable and Distributed Mathematical Modeling Algorithm Design and Performance Evaluation in Heterogeneous Computing Clusters,"A growing number of scalable and distributed methods are required to effectively simulate complicated events as computing needs in the research and industrial sectors keep growing. A novel approach for developing and accessing mathematically modeled methods in heterogeneous computing clusters is proposed in this study to meet this difficulty. The suggested methodology uses DRL based Parallel Computational model for the evaluation of Heterogenous computing clusters. The algorithms makes use of parallelization methods to split up the processing burden among several nodes, supporting the variety of topologies seen in contemporary computing clusters. Through the utilization of heterogeneous hardware parts such as CPUs, GPUs, and acceleration devices, the architecture seeks to maximize speed and minimize resource usage. To evaluate the effectiveness of the proposed approach, a comprehensive performance assessment is conducted. The evaluation encompasses scalability analysis, benchmarking, and comparisons against traditional homogeneous computing setups. The research investigates the impact of algorithm design choices on the efficiency and speed achieved in diverse computing environments.",CS,Quantitative
Deep learning algorithm performance compared to experts in visual evaluation of interior vena cava collapse on ultrasound to determine intravenous ﬂuid need in dehydration management,"Objectives: To create a deep learning (DL) algorithm capable of analyzing real time ultrasound video of the inferior vena cava (IVC) for complete collapse in pediatric patients being evaluated for intravenous fluid (IVF) resuscitation. Methods: Researchers employed a VGG-16 based DL architecture, running inside a Long Short Term Memory algorithm design, to analyze prospectively obtained ultrasound video from pediatric patients presenting with dehydration to a busy urban ED, obtained for a prior clinical study. All videos were de-identified and no patient information was available. A total of 184 patient IVC ultrasound videos were used in the study. All videos were previously reviewed and graded by two blinded POCUS experts (PedEM fellow and PedEM attending with 20 years experience) and split into two categories, those showing complete (95 patients) and those with incomplete (89 patients) IVC collapse. Approximately 10% (9) patient videos were randomly removed from each original data groups to be used for algorithm testing after training was completed. A standard 80%/20% training and validation split was used on the remaining 166 patient videos for algorithm training. Training accuracy, losses and learning curves were tracked and various training parameters such as learning rates and batch sizes were optimized throughout training. As a final real world test, the DL algorithm was tasked with analyzing the 18 previously unseen, randomly selected IVC videos. Cohen’s kappa was calculated for each of the blinded POCUS reviewers and DL algorithm. Results: This DL algorithm completed analysis of each previously unseen real world test video and is the first such algorithm to analyze IVC collapse through visual estimation in real-time. The algorithm was able to deliver a collapse result prediction for all 18 test IVC videos and there were no failures. Algorithm agreement with PedEM POCUS attending was substantial with a Cohen’s kappa of 0.78 (95% CI 0.49 to 1.0). Algorithm agreement with PedEM Fellow was substantial with Cohen’s kappa of 0.66 (95% CI 0.31 to 1.0). The PEM fellow and PEM POCUS attending also had substantial agreement, yielding a Cohen’s kappa of 0.66 (95% CI 0.32 to 1.0). Conclusions: This DL algorithm developed on prospectively acquired IVC video data from patients being studied for an IVF resuscitation study proved accurate at identifying when the IVC collapsed completely in real time. There was substantial agreement with POCUS reviewers of the same videos. Such an algorithm could allow novice clinicians to rapidly identify complete IVC collapse in children and the need for IVF administration. This could expand patient access to point of care technology by enabling novices with little training to use the diagnostic tool at bedside and decide if patients require intravenous fluid administration.",CS,Quantitative
Research on the Evaluation Index System of ERP Implementation Performance Based on the Fuzzy Algorithm,"Based on the BSC (balanced score card) and its expansion theory, this paper regards the fuzzy algorithm as the means and the empirical research of sampling of the large and medium-size enterprises as the basis, then combines the characteristics of the enterprise sectors and activities to build a set of evaluation index system of ERP implementation performance, which is objective, valid and integral. This aims to improve the success rate to implement ERP for enterprises and promote their business processes as well as the performance.",IS,Quantitative
Research on the Evaluation Index System of ERP Implementation Performance Based on the Fuzzy Algorithm,"Based on the BSC (balanced score card) and its expansion theory, this paper regards the fuzzy algorithm as the means and the empirical research of sampling of the large and medium-size enterprises as the basis, then combines the characteristics of the enterprise sectors and activities to build a set of evaluation index system of ERP implementation performance, which is objective, valid and integral. This aims to improve the success rate to implement ERP for enterprises and promote their business processes as well as the performance.",IS,Quantitative
OPTIMIZATION OF NAÃVE BAYES BASED ON GENETIC ALGORITHM FOR PERFORMANCE EVALUATION OF LECTURERS OF PGRI WIRANEGARA UNIVERSITY,"The evaluation of educators' performance, particularly that of professors, is crucial for maintaining the high quality of instruction at the college. This study employed Bayes Methods as the basis for performance assessment, using the criteria set forth by the quality assurance unit's standards of conformity. The results of the Bayes Method will aid the institution in evaluating professors' performance, with the goal of enhancing their skills and serving as a decision-making tool. A Genetic Algorithm (GA) was proposed to optimize the NaÃ¯ve Bayes parameter value and improve accuracy. The results showed that the accuracy of the Naive Bayes was 89.93%, while the accuracy of the Naive Bayes with Genetic Algorithm was 95%, indicating that the latter method is more effective",CS,Quantitative
Applications of picture fuzzy filters: performance evaluation of an employee using clustering algorithm,"&lt;abstract&gt;&lt;p&gt;This article defines the concepts of picture fuzzy filter, picture fuzzy grill, picture fuzzy section, picture fuzzy base, picture fuzzy subbase, picture fuzzy ultrafilter, as well as their fundamental features. Characteristics of the aforementioned concepts are addressed, and equivalence between the picture fuzzy filter and picture fuzzy grills is established. Real-world examples are offered to demonstrate the advantages of picture fuzzy filters in the classification of sets using a clustering technique. Illustration is provided to show the advantages of picture fuzzy sets and the results are compared with intuitionistic fuzzy sets. Clustering technique is applied to the picture fuzzy filter collection reduces the computational process which helps the decision makers to classify the sets with fewer iterations.&lt;/p&gt;&lt;/abstract&gt;",CS,Quantitative
An Online Algorithm for Smoothed Online Convex Optimization,"We consider Online Convex Optimization (OCO) in the setting where the costs are m-strongly convex and the online learner pays a switching cost for changing decisions between rounds. We show that the recently proposed Online Balanced Descent (OBD) algorithm is constant competitive in this setting, with competitive ratio 3+O(1/m), irrespective of the ambient dimension. We demonstrate the generality of our approach by showing that the OBD framework can be used to construct competitive a algorithm for LQR control.",CS,Quantitative
Performance evaluation of parallel multithreaded A* heuristic search algorithm,"Heuristic search is used in many problems and applications, such as the 15 puzzle problem, the travelling salesman problem and web search engines. In this paper, the A* heuristic search algorithm is reconsidered by proposing a parallel generic approach based on multithreading for solving the 15 puzzle problem. Using multithreading, sequential computers are provided with virtual parallelization, yielding faster execution and easy communication. These advantageous features are provided through creating a dynamic number of concurrent threads at the run time of an application. The proposed approach is evaluated analytically and experimentally and compared with its sequential counterpart in terms of various performance metrics. It is revealed by the experimental results that multithreading is a viable approach for parallel A* heuristic search. For instance, it has been found that the parallel multithreaded A* heuristic search algorithm, in particular, outperforms the sequential approach in terms of time complexity and speedup.",CS,Quantitative
Tail Optimality of the Nudge-M Scheduling Algorithm,"Recently it was shown that the response time of First-Come- First-Served (FCFS) scheduling can be stochastically and asymptotically improved upon by the Nudge scheduling algorithm in case of light-tailed job size distributions. Such improvements are feasible even when the jobs are partitioned into two types and the scheduler only has information about the type of incoming jobs (but not their size). In this paper we introduce Nudge-M scheduling, where basically any incoming type-1 job is allowed to pass any type-2 job that is still waiting in the queue given that it arrived as one of the last M jobs. We prove that Nudge- M has an asymptotically optimal response time within a large family of Nudge scheduling algorithms when job sizes are light-tailed. Simple explicit results for the the prefactor of Nudge-M are derived as well as explicit results for the optimal parameter M. An expression for the prefactor that only depends on the type-1 and type-2 mean job sizes and the fraction of type-1 jobs is presented in the heavy traffic setting.",CS,Quantitative
Performance Evaluation of Wavelet-Based Algorithm for Printed Circuit Board (PCB) Inspection,"Operasi perbezaan imej seringkali digunakan dalam pemeriksaan papan litar bercetak secara automatik dan tidak terkecuali juga dalam banyak aplikasi pemprosesan imej yang lain. Pelaksanaan sistem pemeriksaan ini sangat bergantung kepada kelajuan operasi ini, di mana ia adalah masalah umum berkaitan dengan pembezaan imej. Matlamat teknik kami adalah untuk memperoleh pemeriksaan secara waktu nyata dengan menggunakan ubahan wavelet. Kertas kerja ini membentangkan satu algoritma baru berasaskan wavelet untuk pembezaan imej, dimana pembezaan imej dilakukan ke atas keluaran ubahan wavelet. Keputusan pelaksanaan teknik ini ke atas imej–imej papan litar bercetak menunjukkan pembaikan yang ketara berbanding dengan pembezaan imej secara tradisional. Kata kunci: Pembezaan imej; ubahan wavelet; papan litar bercetak; masa pemeriksaan Image difference operation is frequently used in automated printed circuit board (PCB) inspection system as well as in many other image processing applications. The inspection system performance depends critically on the speed of this operation, which is a common problem related to the image difference. The goal of our technique is to achieve real time inspection using wavelet transform. This paper presents a new wavelet–based algorithm for image difference, which computes image difference to the output of the wavelet transform. The results of applying the technique to PCB images showed significant improvement on the traditional image differencing. Key words: Image difference; wavelet transform; printed circuit board; inspection time",CS,Quantitative
Performance Evaluation of MRMED Algorithm by Monitoring BER,"In this research work, we have developed a communication system (transmitter / receiver) to control peak to average power (PAPR) with small bit error rate (BER) for a 4G system called multicode code division multiple access (MCCDMA). Proposed communication system works on modified Reed Muller encoded data (MRMED) string. In MRMED data is first encoded with Reed Muller (RM) code. Thereafter, encoded RM message is XORed with optimal binary string, which results lower Peak to Average Power ratio (PAPR). A well-known fact is that, bit error rate (BER) is the best performance measurement tool for a communication system. To check the integrity of our communication system, we have run the simulation for monitoring BER using MRMED sequence. Simulation work conducted, with multipath Rayleigh fading, Minimum Shift Keying (MSK) modulation and several orders of RM codes. Our results show that implementing MRMED sequences of the suggested MCCDMA communication structure, returns noticeable lower BER. For instance, in case of RM(1,4), that has error improvement proficiency of 3 (three) errors , returns BER = 8.2x10−5 adopting MSK, at SNR = 12dB. Similarly, for RM(2,3), which has error improvement efficiency of 0 error and shows distinct BER of 4.9x10−4 at 12dB (SNR).In addition to using simulation for checking BER performance of our communication system, we have also shown in our results that, as the error improvement capability of different RM codes surges, correspondingly we get a lower BER.",CS,Quantitative
"An experimental determination of the ""purity"" of a trivial algorithm","Recent work in an area which might be designated as Software Physics [1,2,3,4,5,6] has suggested that the basic structure of algorithms may offer an interesting field for experimental research. Such an experiment is reported here. In an earlier paper [2], it was suggested that a ""Second Law"" might be stated as:""The internal quality, LV, of a pure algorithm is independent of the language in which it is expressed.""",CS,Quantitative
The Transient Performance-Evaluation Model for Desalination of Seawater Based on Matrix Algorithm – a Requirement for a Ported Arabic Smart City,"ABSTRACT Based on the transient performance model for desalination of seawater based on the matrix algorithm, the desalination device is designed according to the evaporation condensation mechanism of falling film in horizontal tube, and its structure operation and operation principle are analyzed. Then, the differential equation of the transient heat-conduction problem of the seawater desalination device is constructed. On the basis of experimental data or numerical calculation results, the temperature field of structure at some time is selected to form the snapshots matrix, and a set of optimal eigenorthogonal decomposition bases is obtained by eigenorthogonal decomposition of the snapshots matrix. Finally, the finite-element discrete scheme of the nonlinear transient heat-conduction problem is reduced by using eigenorthogonal decomposition bases of the linear problem, and the lower-order ordinary differential equations of the reduced-order model for the nonlinear transient heat-conduction problem of the seawater desalination device are obtained. The ordinary differential equations of the reduced-order model are solved by solving the ordinary differential equations of the reduced-order model. The distribution of the temperature field at each time of the structure is obtained. The performance of the model is verified by numerical examples under the conditions of two-stage temperature-difference heating and only the top-level heating. The results show that the model has good accuracy and efficiency.",CS,Quantitative
An efficient algorithm for semi-homogeneous queueing network models,"The class of product-form semi-homogeneous queueing networks is introduced as a generalization of the class of homogeneous networks, which has been considered by Balbo et al for the performance modeling of local area networks. In semi-homogeneous networks, the relative traffic intensity at the various shared resources may depend on the routing chain to which a customer belongs. We develop an efficient algorithm for the exact analysis of this class of networks. It is based on the equations which form the foundation of RECAL, a general purpose exact algorithm for multiple-chain closed queueing networks. The complexity of the algorithm is shown to be of order less than exponential in (P-1) 1/2 , where P is the number of processors (workstations) in the network. It is therefore, in general, more efficient than a direct application of either convolution, MVA or RECAL to the class of semi-homogeneous queueing networks. The algorithm presented here may be situated between the algorithms of Balbo et al and the general purpose algorithms, both in terms of its generality and efficiency.",CS,Quantitative
Evaluation of KDP Estimation Algorithm Performance in Rain Using a Known-Truth Framework,"AbstractAccurate estimation of specific differential phase (KDP) is necessary for rain rate estimation, attenuation correction, and hydrometeor classification algorithms. There are numerous published methods to process polarimetric radar observations of propagation differential phase shift (ΦDP) and estimate KDP, but the corresponding KDP estimate uncertainty is unquantified. This study provides guidance on how commonly used KDP estimation algorithms perform in various environments. We create numerous synthetic (“true”) KDP profiles, integrate over them to obtain “smoothed” ΦDP, and then add noise typical of S-band operational weather radar measurements. Each algorithm is applied to our noisy ΦDP profiles and compared to the true KDP profile such that the errors and uncertainty are quantified. The synthetic KDP profiles are Gaussian in shape, which allows systematic variations in their magnitude and width to determine how each algorithm performs in smooth, slowly changing KDP profiles, as well as steep profiles. Results demonstrate that algorithm performance is dependent on the ΦDP field received. These results are further supported by an error analysis of each algorithm for two more complicated synthetic KDP profiles. Some KDP algorithms allow users to change various tuning parameters; a subset of these tuning parameters is tested to provide guidance on how changing these parameters impacts algorithm performance. We then provide evidence that our known-truth framework provides insight into algorithm performance in observed data through two case studies.",CS,Quantitative
A novel algorithm combined X-ray fluorescence and Neural Network (XRF-NN) for coal ash content prediction: Algorithm design and performance evaluation,"This paper investigated a precise algorithm combining X-ray Fluorescence and Neural Network (XRF-NN) for predicting ash content. The 261 sets of XRF tests show that the 34 elements in the chosen Guqiao coal can be categorized as major, secondary and tiny elements, whose cumulative ratio were ~95%, 4-5% and &lt;1%, respectively. Referring to the machine learning theory, the construction strategy of Element-Ash dataset was determined viz. value determination → standardization → division → optimization of generalization ability. Then, the hyperparameters optimization displays that XRF-NN model with 34 inputs and 1 output was suitable to predict coal ash content, where the activation function, loss function, and optimizer were ReLU, MAE, and Momentum, respectively. After iterative training, the new XRF-NN model provides the precise prediction of coal ash content with the absolute errors between -2.0% and 2%. Moreover, the prediction accuracy rose from 57.69% to 100%, as the expected relative error increased from 1% to 5%. Furthermore, the comparisons between different prediction methods reveal that the minimum MRE of 1.22% can be obtained by XRF-NN with total elements, which was only half of those given by the conventional Multiple Linear Regression and Partial Least Squares Regression. Besides, XRF-NN model presents the root mean squared error 0.797%, the mean absolute error 0.625% and the coefficient of determination 0.999, which were significantly superior to those calculated by Dual-Energy Gamma-ray Transmission, Ploy, RFR, XGBoost and DNN model. The results of this study suggest the excellent performance of the new XRF-NN model in predicting ash content.",CS,Quantitative
The Evaluation of Online Education Course Performance Using Decision Tree Mining Algorithm,"With the continuous development of “Internet + Education”, online learning has become a hot topic of concern. Decision tree is an important technique for solving classification problems from a set of random and unordered data sets. Decision tree is not only an effective method to generate classifier from data set, but also an active research field in data mining technology. The decision tree mining algorithm can classify the data, grasp the teaching process of the teacher, and analyze the overall performance of the students, so as to realize the dynamic management of the educational administration and help the educational administration personnel to make the right decision, with more reasonable allocation of resources. This paper evaluates students’ academic performance based on the learning behavior data of online learning, so as to intervene in students’ learning in advance, which is the key problem that needs to be solved at present. Taking students’ learning attitude, completion of homework, and attendance as factors, the paper uses decision tree technology to analyze the factors affecting students’ performance, and evaluates students’ performance. Firstly, this paper collects the high‐dimensional behavioral characteristic data of students’ online learning and conducts correlation analysis after preprocessing the behavioral characteristic data. Then, the decision tree C4.5 algorithm is used to construct a performance evaluation model. Students’ performance is evaluated by the model, and the evaluation accuracy is about 88% compared with actual performance. Finally, through the model analysis, it is concluded that the video task point completion is the most influential in students’ achievement, followed by chapter test completion and chapter test average score, and the course interaction amount and homework average score are the least influential in students’ achievement, which has a practical reference value for effectively serving online learning and teachers’ teaching.",CS,Quantitative
Performance Evaluation of Dynamic QoS-Aware CAC (DQA-CAC) Algorithm for Broadband Networks,"Call admission control (CAC) is a technique deployed in the management of network resources in mobile broadband networks. Despite its importance, the WiMAX technology like most mobile broadband networks does not make provision for CAC, making it an open area of research. A dynamic QoS-Aware Call Admission Control (DQACAC) scheme was recently proposed to improve resource utilization and ensure QoS. Several simulation experiments were conducted to evaluate the performance of the DQA-CAC against other CAC algorithms. The results of the simulation indicated that the DQA-CAC outperformed the existing CAC schemes in terms of reduced new connection blocking rate. However, the evaluation failed to consider other performance metrics like resource utilization and throughput that are also very crucial in the real-world scenario. This paper therefore attempts to improve the performance of the DQA-CAC by investigating its performance in terms of additional metrics like the average system throughput and resource utilization that further mimic the real-world experience. A Java based discrete event simulator designed for the study was used and the simulation results indicate that the DQA-CAC algorithm outperforms the existing CAC algorithms in terms of improved per-flow throughput, average system throughput and resource utilization in addition to reducing the connection blocking rate.",CS,Quantitative
Performance evaluation model and algorithm of green supply chain management based on sustainable computing,"Abstract How to facilitate collaborative development between the enterprise and the environment under the dual constraints of resources and the environment is the focus of today's green supply chain management system research. Through the performance evaluation of the green supply chain, we can understand the operation of the whole supply chain and its shortcomings, provide a basis for improving related processes, and have important practical significance for improving the competitiveness and protection of its products. First of all, by summarising and analysing the research status of sustainable supply chain management in different countries, the research idea and overall background of this paper are proposed. It discusses the theory of sustainable supply chain management and the performance evaluation system and calculation types of sustainable supply chain management. Finally, the relative weight of each index is determined based on the sustainability calculation method, and then the decentralisation degree of the index is constructed. During this period, the fuzzy comprehensive evaluation method is used to evaluate the performance of sustainable supply chain, conduct case analysis and summary, and evaluate the performance of green supply chain component in economic, social, environmental and other aspects. In this paper, representative companies are selected as examples to evaluate their green supply chain management performance, and the evaluation algorithm is studied based on sustainable calculation method. The results show that a reasonable and effective evaluation of the enterprise performance of green supply chain management and a sustainable algorithm study can effectively identify potential problems in the operation of the company and improve the overall operation of the company at this stage.",IS,Mixed
Evaluation of the Performance of Algorithm-Based Methods for Subjective Refraction,"Objective: To evaluate the performance of two subjective refraction measurement algorithms by comparing the refraction values, visual acuity, and the time taken by the algorithms with the standard subjective refraction (SSR). Methods: The SSR and two semi-automated algorithm-based subjective refraction (SR1 and SR2) in-built in the Vision-R 800 phoropter were performed in 68 subjects. In SR1 and SR2, the subject’s responses were recorded in the algorithm which continuously modified the spherical and cylindrical component accordingly. The main difference between SR1 and SR2 is the use of an initial fogging step in SR1. Results: The average difference and agreement limits intervals in the spherical equivalent between each refraction method were smaller than 0.25 D, and 2.00 D, respectively. For the cylindrical components, the average difference was almost zero and the agreement limits interval was less than 0.50 D. The visual acuities were not significantly different among the methods. The times taken for SR1 and SR2 were significantly shorter, and SR2 was on average was three times faster than SSR. Conclusions: The refraction values and the visual acuity obtained with the standard subjective refraction and algorithm-based methods were similar on average. The algorithm-based methods were significantly faster than the standard method.",CS,Quantitative
Performance Evaluation of Priority Load-Aware Scheduling (PLAS) Algorithm for IEEE802.16 Networks,"In recent years, there has been an increase in the transmission of multimedia services due to the emergence of wireless broadband (WiBB) technologies such as WiMAX. WiMAX supports multiple QoS classes for transmission of different multimedia applications. However, satisfying the requirements of these applications with the often-limited resources has been a major challenge, which requires an efficient scheduling scheme such as PLAS. PLAS is a variant of LAWRR designed to reduce queuing delay of real-time traffics in WiBB networks. Several simulation experiments were conducted to evaluate the performance of PLAS against the LAWRR algorithm. The results revealed that PLAS outperforms the other scheme in terms of average delay for low input traffic. However, the metric (delay) used and the traffics generated for the simulation are not adequate to realistically evaluate the performance of a scheduling algorithm in a typical metropolitan area network. In this study, we further evaluated the performance of PLAS and LAWRR under varying higher input traffics, and an additional performance metric, using discrete event simulation. The results demonstrated that the PLAS achieved better results in terms of queuing delay and throughput compared to LAWRR. The improved performance will lead to better user experience, which will increase the number of subscribers and consequently increase revenue for service providers.",CS,Quantitative
Performance Evaluation of Hybrid Photovoltaic Thermal Thermoelectric Collector Using Grasshopper Optimization Algorithm With Simulated Annealing,"Abstract In this paper, a mathematical model of a single-channel photovoltaic thermal (PVT) air collector incorporated with a thermoelectric (TE) module has been presented. The overall electrical energy obtained from the photovoltaic thermal-thermoelectric (PVT-TE) collector is 5.78% higher than the PVT collector. Further, the grasshopper optimization algorithm (GOA) and hybrid grasshopper optimization algorithm with simulated annealing (GOA-SA) have been proposed and implemented to optimize the parameters of opaque PVT-TE collector. Although there are different parameters that influence the performance of PVT-TE system, yet in this study only four parameters, viz., length of the channel (L), width of the channel (b), mass flowrate of air in the channel (mair), and temperature of air at the inlet of channel (Tair,i) are considered for optimization. The simulation result demonstrates that the hybrid GOA-SA algorithm turned out to be an exceptionally effective method for optimal tuning of the parameters of the PVT-TE system. The result explicitly shows that the average value of overall electrical efficiency and exergy gain are 15.27% and 27.0565 W, respectively, when the parameters are optimized by the suggested GOA-SA algorithm which is way ahead with respect to the outcomes obtained with that of the calculated values or using GOA algorithm alone.",IT,Quantitative
Influence of the enterprise’s intelligent performance evaluation model using neural network and genetic algorithm on the performance compensation of the merger and acquisition parties in the commitment period,"The purpose is to study the performance compensation of the bid purchased during the mergers and acquisitions (M&amp;A) process. An intelligent model of enterprise performance appraisal is built to analyze the performances of the acquired enterprises. First, the evaluation indicators of enterprise performance are selected from both financial and non-financial aspects. An enterprise performance appraisal model is established based on the neural networks and optimized by the factor analysis method and Genetic Algorithm (GA). The principal factors affecting enterprise performance are analyzed. Then the M&amp;A parties’ performances during the M&amp;A commitment period under the earnings compensation mechanism are analyzed quantitatively. Corresponding hypotheses and evaluation indicators are established. Mean test results and regression analyses demonstrate that the hypotheses proposed are valid under particular circumstances. Introducing the earnings compensation mechanism during the M&amp;A process can improve the enterprise performance effectively so that the earnings forecasted in the commitment period are significantly higher than the historical profitability. Hence, the earnings compensation mechanism plays a positive role in guiding enterprise performance. Comparison with models proposed in previous research reveals that the output error ratio of the designed corporate performance evaluation model is 1.16%, which can effectively evaluate corporate performance. The above results provide a reference for studying the impact of the earnings compensation mechanism on enterprise performance during the M&amp;A process.",IS,Quantitative
A multi-level solution algorithm for steady-state Markov chains,"A new iterative algorithm, the multi-level algorithm, for the numerical solution of steady state Markov chains is presented. The method utilizes a set of recursively coarsened representations of the original system to achieve accelerated convergence. It is motivated by multigrid methods, which are widely used for fast solution of partial differential equations. Initial results of numerical experiments are reported, showing significant reductions in computation time, often an order of magnitude or more, relative to the Gauss-Seidel and optimal SOR algorithms for a variety of test problems. It is shown how the well-known iterative aggregation-disaggregation algorithm of Takahashi can be interpreted as a special case of the new method.",CS,Quantitative
Prediction of Pile Bearing Capacity Using XGBoost Algorithm: Modeling and Performance Evaluation,"The major criteria that control pile foundation design is pile bearing capacity (Pu). The load bearing capacity of piles is affected by the various characteristics of soils and the involvement of multiple parameters related to both soil and foundation. In this study, a new model for predicting bearing capacity is developed using an extreme gradient boosting (XGBoost) algorithm. A total of 200 driven piles static load test-based case histories were used to construct and verify the model. The developed XGBoost model results were compared to a number of commonly used algorithms—Adaptive Boosting (AdaBoost), Random Forest (RF), Decision Tree (DT) and Support Vector Machine (SVM) using various performance measure metrics such as coefficient of determination, mean absolute error, root mean square error, mean absolute relative error, Nash–Sutcliffe model efficiency coefficient and relative strength ratio. Furthermore, sensitivity analysis was performed to determine the effect of input parameters on Pu. The results show that all of the developed models were capable of making accurate predictions however the XGBoost algorithm surpasses others, followed by AdaBoost, RF, DT, and SVM. The sensitivity analysis result shows that the SPT blow count along the pile shaft has the greatest effect on the Pu.",IS,Quantitative
Performance evaluation of similarity measures for K-means clustering algorithm,"Clustering is a useful technique that organizes a large quantity of unordered datasets into a small number of meaningful and coherent clusters. Every clustering method is based on the index of similarity or dissimilarity between data points. However, the true intrinsic structure of the data could be correctly described by the similarity formula defined and embedded in the clustering criterion function. This paper uses squared Euclidean distance and Manhattan distance to investigates the best method for measuring similarity between data objects in sparse and high-dimensional domain which is fast, capable of providing high quality clustering result and consistent. The performances of these two methods were reported with simulated high dimensional datasets.",CS,Quantitative
Performance Evaluation of Novel Random Biased-Genetic Algorithm (NRB-GA): A Hybrid Load Balancing Algorithm in a Cloud Computing Environment,"A novel random biased-genetic algorithm (NRB-GA) load-balancing algorithm that exhibits the characteristics of both genetic algorithms and biased random algorithms is designed and developed to improve the processing time and response time metrics of the cloud computing environment. The NRB-GA is designed to discover a virtual machine with fewer loads by applying a genetic algorithm with a fitness function that is inversely proportional to the average load over a period of time for each virtual machine and with biased parent selection to maximize the fitness values of offspring. The developed NRB-GA load-balancing algorithm is evaluated by analysing its performance for various simulated scenarios in a cloud computing environment with different user bases and data center configurations. The analysis of the experimental results of NRB-GA indicates that the average response time is reduced by 27.22%, 21.15%, and 22.34%, and the processing time is reduced by 25.73%, 16.14%, and 18.82% for one, two, and three data centers, respectively. It is evident that the proposed NRB-GA algorithm for load balancing outperforms other existing algorithms significantly.",CS,Quantitative
